plotID;origin;recipient;65;72;79;87;93;100;107;114;122;128;135;142;148;156;163;170;175;183;190
GW 2-3-1;GW;GW;;;;5;5;30;45;65;75;90;90;97;98;95;100;100;100;100;100
GW 2-5-1;GW;GW;;;;8;7;40;50;75;75;93;93;100;100;95;100;100;100;100;100
GW 2-9-1;GW;GW;;;;15;15;50;75;70;80;97;97;100;100;100;100;100;100;100;100
GW 2-4-2;GW;GW;;;;5;7;40;60;80;85;98;100;100;100;98;100;100;100;100;100
GW 2-8-3;GW;GW;;;;8;5;25;45;85;90;100;100;100;100;100;100;100;100;100;100
GW 2-6-3;GW;GW;;;;5;10;25;50;80;80;98;98;100;100;100;100;100;100;100;100
GW 2-1-3;GW;GW;;;;8;10;25;55;70;85;90;93;95;97;100;100;100;100;100;100
GW 3-7-2;GW;GW;;;;1;3;15;25;60;80;90;90;95;98;100;100;100;100;100;100
GW 3-2-2;GW;GW;;;;1;3;10;25;65;80;90;90;93;95;95;100;100;100;100;100
GW 3-3-1;GW;GW;;;;5;5;20;35;60;75;90;85;90;93;93;100;100;100;100;100
GW 3-5-1;GW;GW;;;;5;3;15;20;50;65;80;87;90;90;95;100;100;100;100;100
GW 3-9-1;GW;GW;;;;5;5;25;30;60;80;90;95;97;100;100;100;100;100;100;100
GW 3-8-3;GW;GW;;;;5;5;30;40;65;80;90;97;100;100;100;100;100;100;100;100
GW 3-4-2;GW;GW;;;;3;3;10;15;30;75;90;98;98;98;100;100;100;100;100;100
GW 3-1-3;GW;GW;;;;8;7;30;75;70;90;95;95;98;98;95;100;100;100;100;100
GW 3-6-3;GW;GW;;;;3;5;30;50;60;85;93;95;95;95;93;100;100;100;100;100
EB 1-6-2;EB;FE;;;33;40;65;80;85;90;90;90;90;75;70;70;60;50;45;45;15
EB 1-6-3;EB;FE;;;28;45;50;70;85;85;90;90;90;85;85;85;98;85;80;70;45
EB 1-1-3;EB;FE;;;30;30;55;70;80;85;85;90;95;95;95;95;90;85;85;75;60
EB 1-4-3;EB;FE;;;25;25;75;80;90;90;95;95;98;95;95;95;90;85;80;70;60
EB 1-7-3;EB;FE;;;20;35;60;65;85;95;90;90;93;93;93;90;85;80;80;70;55
EB 1-7-1;EB;FE;;;15;15;50;60;85;85;85;85;85;88;90;95;90;85;80;70;60
EB 1-9-1;EB;FE;;;20;40;60;60;85;85;85;95;90;95;95;95;85;70;70;65;50
EB 1-3-2;EB;FE;;;35;40;75;80;90;90;95;95;95;95;95;97;90;85;80;70;65
EB 1-3-1;EB;FE;;;40;40;65;80;90;90;90;95;93;95;95;97;85;85;75;70;70
EB 2-8-1;EB;FE;;;45;45;50;60;70;80;85;90;90;90;90;97;90;85;80;75;70
EB 2-6-4;EB;FE;;;45;45;50;80;90;95;100;100;100;100;100;100;95;90;80;75;65
EB 2-3-3;EB;FE;;;50;50;60;85;85;90;98;100;100;100;100;100;95;90;85;70;70
EB 2-1-1;EB;FE;;;40;45;50;75;85;85;97;98;100;100;100;100;98;90;85;75;75
EB 2-8-3;EB;FE;;;38;45;50;75;90;90;98;98;98;98;100;100;90;85;80;70;65
EB 2-5-2;EB;FE;;;10;30;40;70;90;95;100;100;100;100;100;100;95;90;80;75;70
EB 2-5-4;EB;FE;;;20;35;40;75;90;90;97;99;97;100;100;100;95;80;75;75;70
EB 2-3-2;EB;FE;;;25;25;40;75;85;90;97;98;97;97;97;97;95;90;80;75;65
EB 2-6-1;EB;FE;;;35;45;50;65;75;85;90;95;98;98;98;98;95;90;85;70;70
EB 3-1-3;EB;FE;;;30;25;25;60;85;95;95;98;100;100;100;100;98;90;85;75;75
EB 3-4-4;EB;FE;;;20;20;30;50;80;90;98;98;97;100;100;100;90;85;80;70;65
EB 3-7-1;EB;FE;;;5;10;15;25;50;65;75;85;87;93;95;95;95;90;80;75;70
EB 3-4-2;EB;FE;;;15;35;30;50;80;85;90;95;95;97;97;98;95;80;75;75;70
EB 3-4-1;EB;FE;;;15;15;25;45;60;70;75;75;80;90;93;98;98;90;85;75;75
EB 3-1-1;EB;FE;;;30;30;30;45;60;75;80;90;90;90;95;100;95;85;80;75;70
EB 3-4-3;EB;FE;;;10;10;20;30;60;75;90;95;90;98;100;100;95;90;80;75;65
EB 3-1-2;EB;FE;;;30;30;50;55;80;85;90;90;95;95;97;97;90;85;75;70;65
EB 3-1-4;EB;FE;;;28;30;50;75;80;85;95;98;97;97;100;100;95;90;80;75;65
GW 1-2-1;GW;FE;;;30;45;50;55;80;85;90;95;95;98;100;80;100;100;100;100;95
GW 1-9-2;GW;FE;;;10;60;60;70;75;75;90;95;95;98;98;100;100;100;100;100;95
GW 1-6-1;GW;FE;;;28;55;55;60;75;80;90;95;93;98;100;100;100;100;100;100;95
GW 1-4-3;GW;FE;;;20;40;40;50;75;80;90;92;90;92;95;97;100;100;100;100;95
GW 1-8-1;GW;FE;;;18;35;40;45;60;70;85;90;85;90;95;97;100;100;100;100;95
GW 1-5-3;GW;FE;;;40;40;40;50;75;80;93;95;93;93;95;97;100;100;100;100;95
GW 1-7-3;GW;FE;;;15;40;40;55;70;80;90;90;75;90;93;97;100;100;100;100;95
GW 1-3-2;GW;FE;;;15;35;50;65;80;85;95;95;95;95;97;100;100;100;95;100;95
GW 1-1-2;GW;FE;;;30;55;70;80;90;95;98;98;98;98;98;95;100;100;100;95;95
GW 2-2-1;GW;FE;;;25;40;40;60;80;90;97;98;100;100;100;100;100;100;100;100;95
GW 2-9-2;GW;FE;;;28;35;40;50;80;80;90;90;93;95;95;98;100;100;100;100;95
GW 2-6-1;GW;FE;;;20;20;20;25;50;75;98;98;98;98;98;100;100;100;100;100;95
GW 2-4-3;GW;FE;;;30;30;40;65;75;90;100;100;100;100;100;100;100;100;100;100;95
